cod_prop,ut,area_amostrada_ha,metodo_calculo
E009_1,UT01,0.627687892395,"BD_Inventário (1 UTs, 156 indivíduos total)"
E011,UT01,0.13209450633852,"BD_Inventário (1 UTs, 247 indivíduos total)"
E011,UT02,0.0215896469944,"BD_Inventário (1 UTs, 28 indivíduos total)"
E014,UT01,0.1611524688605,"BD_Inventário (1 UTs, 621 indivíduos total)"
E014,UT02,0.0884278440062,"BD_Inventário (1 UTs, 368 indivíduos total)"
E014,UT03,0.0076412962235899995,"BD_Inventário (1 UTs, 61 indivíduos total)"
E014,UT05,0.0122912652114,"BD_Inventário (1 UTs, 66 indivíduos total)"
E014,UT06,0.03574555126963,"BD_Inventário (1 UTs, 169 indivíduos total)"
E017,UT01,0.10562084474601,"BD_Inventário (1 UTs, 403 indivíduos total)"
E017,UT02,0.0104540600621,"BD_Inventário (1 UTs, 74 indivíduos total)"
E019,UT01,0.1643300154931,"BD_Inventário (1 UTs, 821 indivíduos total)"
E019,UT02,0.011211095644209999,"BD_Inventário (1 UTs, 29 indivíduos total)"
E019,UT03,0.0358281070241,"BD_Inventário (1 UTs, 102 indivíduos total)"
E019,UT04,0.01315158182565,"BD_Inventário (1 UTs, 60 indivíduos total)"
E019,UT05,0.0139962818661,"BD_Inventário (1 UTs, 83 indivíduos total)"
E019,UT06,0.032126511584730004,"BD_Inventário (1 UTs, 190 indivíduos total)"
E019,UT07,0.02476705840049,"BD_Inventário (1 UTs, 149 indivíduos total)"
E019_1,UT01,0.0918058392553,"BD_Inventário (1 UTs, 142 indivíduos total)"
E021,UT01,0.0127847505776,"BD_Inventário (1 UTs, 59 indivíduos total)"
E021,UT02,0.00876369246139,"BD_Inventário (1 UTs, 45 indivíduos total)"
E021,UT03,0.0586146992877,"BD_Inventário (1 UTs, 199 indivíduos total)"
E021,UT04,0.01677106550869,"BD_Inventário (1 UTs, 76 indivíduos total)"
E021,UT05,0.00378905148904,"BD_Inventário (1 UTs, 69 indivíduos total)"
E021,UT07,0.0184205163803,"BD_Inventário (1 UTs, 86 indivíduos total)"
E021,UT08,0.00990763424882,"BD_Inventário (1 UTs, 32 indivíduos total)"
E021,UT09,0.05280958176553,"BD_Inventário (1 UTs, 220 indivíduos total)"
E022,UT01,0.00795943907895,"BD_Inventário (1 UTs, 23 indivíduos total)"
E022,UT02,0.00200314529252,"BD_Inventário (1 UTs, 10 indivíduos total)"
E022,UT03,0.0176395306583,"BD_Inventário (1 UTs, 61 indivíduos total)"
E023,UT06,0.1069623769683,"BD_Inventário (1 UTs, 33 indivíduos total)"
E023,UT09,0.0910479794761,"BD_Inventário (1 UTs, 78 indivíduos total)"
E023,UT10,0.0452322604133,"BD_Inventário (1 UTs, 44 indivíduos total)"
E023,UT11,0.102291958831,"BD_Inventário (1 UTs, 27 indivíduos total)"
E024,UT01,0.0426102769024,"BD_Inventário (1 UTs, 36 indivíduos total)"
E024,UT02,0.13810848626588,"BD_Inventário (1 UTs, 95 indivíduos total)"
E024,UT04,0.0274572422799,"BD_Inventário (1 UTs, 51 indivíduos total)"
E024,UT08,0.0298144892141,"BD_Inventário (1 UTs, 44 indivíduos total)"
E025,UT01,0.31988225777,"BD_Inventário (1 UTs, 156 indivíduos total)"
E025,UT02,0.15769176282303,"BD_Inventário (1 UTs, 34 indivíduos total)"
E028,UT02,1.402397756953,"BD_Inventário (1 UTs, 85 indivíduos total)"
E028,UT04,0.521506072386,"BD_Inventário (1 UTs, 32 indivíduos total)"
E028,UT05,0.623476384027,"BD_Inventário (1 UTs, 24 indivíduos total)"
E028,UT10,0.621328676656,"BD_Inventário (1 UTs, 73 indivíduos total)"
E028,UT11,0.3225751993742,"BD_Inventário (1 UTs, 23 indivíduos total)"
E028,UT12,1.9248300430404002,"BD_Inventário (1 UTs, 92 indivíduos total)"
E028,UT14,0.38260888256260006,"BD_Inventário (1 UTs, 48 indivíduos total)"
E028,UT15,0.7933967895284,"BD_Inventário (1 UTs, 32 indivíduos total)"
E029,UT01,0.22446332810640002,"BD_Inventário (1 UTs, 127 indivíduos total)"
E034,UT01,0.0373946444746,"BD_Inventário (1 UTs, 121 indivíduos total)"
E035,UT03,0.11612406029569,"BD_Inventário (1 UTs, 46 indivíduos total)"
E035,UT04,0.1671534615243,"BD_Inventário (1 UTs, 113 indivíduos total)"
E035_1,UT01,0.0749055447729,"BD_Inventário (1 UTs, 325 indivíduos total)"
E037,UT01,0.04430358902211,"BD_Inventário (1 UTs, 219 indivíduos total)"
E039,UT01,0.0160094405058,"BD_Inventário (1 UTs, 70 indivíduos total)"
E040,UT01,0.01880865426274,"BD_Inventário (1 UTs, 71 indivíduos total)"
E041,UT01,0.23109174268184,"BD_Inventário (1 UTs, 718 indivíduos total)"
E046,UT01,0.0348266074958,"BD_Inventário (1 UTs, 120 indivíduos total)"
E047,UT01,0.0043261414496,"BD_Inventário (1 UTs, 17 indivíduos total)"
E048,UT01,0.006645376934210001,"BD_Inventário (1 UTs, 45 indivíduos total)"
E049,UT01,0.01165301228593,"BD_Inventário (1 UTs, 112 indivíduos total)"
E050,UT01,0.0118939194113,"BD_Inventário (1 UTs, 39 indivíduos total)"
E052,UT01,0.0420618721556,"BD_Inventário (1 UTs, 175 indivíduos total)"
E053,UT01,0.0116407714852,"BD_Inventário (1 UTs, 48 indivíduos total)"
E053,UT02,0.0054736549644317,"BD_Inventário (1 UTs, 51 indivíduos total)"
E054,UT01,0.01954576841485,"BD_Inventário (1 UTs, 75 indivíduos total)"
E054,UT02,0.01367817093114,"BD_Inventário (1 UTs, 23 indivíduos total)"
E055,UT01,0.01989342353048,"BD_Inventário (1 UTs, 50 indivíduos total)"
E055,UT02,0.0218988011414,"BD_Inventário (1 UTs, 69 indivíduos total)"
E056,UT01,0.00187325821098,"BD_Inventário (1 UTs, 15 indivíduos total)"
E056,UT02,0.0565484352762,"BD_Inventário (1 UTs, 77 indivíduos total)"
E057,UT01,0.08526244099772,"BD_Inventário (1 UTs, 356 indivíduos total)"
E057,UT02,0.08001638979758,"BD_Inventário (1 UTs, 416 indivíduos total)"
E058,UT02,0.27969649955712494,"BD_Inventário (1 UTs, 51 indivíduos total)"
E058,UT03,0.10528572445,"BD_Inventário (1 UTs, 53 indivíduos total)"
E058,UT05,0.1542980845135,"BD_Inventário (1 UTs, 29 indivíduos total)"
E060,UT02,0.09940532558489999,"BD_Inventário (1 UTs, 43 indivíduos total)"
E060,UT04,0.1398125035779,"BD_Inventário (1 UTs, 106 indivíduos total)"
E060,UT06,0.0561624501213,"BD_Inventário (1 UTs, 40 indivíduos total)"
E061,UT02,0.0564294585442,"BD_Inventário (1 UTs, 24 indivíduos total)"
E061,UT03,0.1103083677447,"BD_Inventário (1 UTs, 29 indivíduos total)"
E061,UT06,0.37835781561799997,"BD_Inventário (1 UTs, 38 indivíduos total)"
E061,UT07,0.1436281694805,"BD_Inventário (1 UTs, 70 indivíduos total)"
E062,UT01,0.019010003506,"BD_Inventário (1 UTs, 90 indivíduos total)"
E062,UT02,0.0263836413699,"BD_Inventário (1 UTs, 141 indivíduos total)"
E062,UT04,0.030299743243,"BD_Inventário (1 UTs, 175 indivíduos total)"
E062,UT05,0.07830580740294,"BD_Inventário (1 UTs, 205 indivíduos total)"
E064,UT01,0.00980593744817,"BD_Inventário (1 UTs, 35 indivíduos total)"
E064,UT02,0.01631592232621,"BD_Inventário (1 UTs, 25 indivíduos total)"
E064,UT03,0.00589926371392,"BD_Inventário (1 UTs, 40 indivíduos total)"
E064,UT05,0.0411161099009,"BD_Inventário (1 UTs, 66 indivíduos total)"
E064,UT06,0.0126641960312,"BD_Inventário (1 UTs, 41 indivíduos total)"
E066,UT01,0.00130244010414,"BD_Inventário (1 UTs, 5 indivíduos total)"
E067,UT01,0.00462656020728,"BD_Inventário (1 UTs, 46 indivíduos total)"
E068,UT01,0.04818153545,"BD_Inventário (1 UTs, 195 indivíduos total)"
E068,UT02,0.112859560434,"BD_Inventário (1 UTs, 319 indivíduos total)"
E068,UT03,0.0630738234543,"BD_Inventário (1 UTs, 181 indivíduos total)"
E068,UT04,0.0820442905146,"BD_Inventário (1 UTs, 254 indivíduos total)"
E068,UT05,0.0534344681095,"BD_Inventário (1 UTs, 135 indivíduos total)"
E069,UT01,0.741265502494,"BD_Inventário (1 UTs, 44 indivíduos total)"
E069,UT04,0.20549044855,"BD_Inventário (1 UTs, 31 indivíduos total)"
E069,UT05,0.16855319458546,"BD_Inventário (1 UTs, 36 indivíduos total)"
E069,UT07,0.0664052429432,"BD_Inventário (1 UTs, 30 indivíduos total)"
E069,UT09,0.0926547583516,"BD_Inventário (1 UTs, 26 indivíduos total)"
E070,UT02,0.03554423003198,"BD_Inventário (1 UTs, 38 indivíduos total)"
E070,UT03,0.0399259366923,"BD_Inventário (1 UTs, 32 indivíduos total)"
E070,UT04,0.04176032842849,"BD_Inventário (1 UTs, 30 indivíduos total)"
E070,UT06,0.0642413836919,"BD_Inventário (1 UTs, 50 indivíduos total)"
E070,UT07,0.024528229291359997,"BD_Inventário (1 UTs, 24 indivíduos total)"
E072,UT01,0.00329987001544,"BD_Inventário (1 UTs, 11 indivíduos total)"
E072,UT02,0.0554350007791,"BD_Inventário (1 UTs, 146 indivíduos total)"
E072,UT03,0.0417183269547,"BD_Inventário (1 UTs, 126 indivíduos total)"
E073,UT01,0.020770155925,"BD_Inventário (1 UTs, 63 indivíduos total)"
E073,UT02,0.03012512051397,"BD_Inventário (1 UTs, 54 indivíduos total)"
E074,UT01,0.0259898393862,"BD_Inventário (1 UTs, 100 indivíduos total)"
E074,UT02,0.0280669714265,"BD_Inventário (1 UTs, 116 indivíduos total)"
E074,UT03,0.00460984101837,"BD_Inventário (1 UTs, 11 indivíduos total)"
E074,UT04,0.0101487644013,"BD_Inventário (1 UTs, 49 indivíduos total)"
E074,UT05,0.00834033013713,"BD_Inventário (1 UTs, 37 indivíduos total)"
E075,UT01,0.03261108921561,"BD_Inventário (1 UTs, 120 indivíduos total)"
E076_1,UT02,0.0329514021769,"BD_Inventário (1 UTs, 162 indivíduos total)"
E076_10,UT01,0.0213858481121,"BD_Inventário (1 UTs, 30 indivíduos total)"
E076_11,UT01,0.137370071167,"BD_Inventário (1 UTs, 22 indivíduos total)"
E076_11,UT02,0.664658000289,"BD_Inventário (1 UTs, 28 indivíduos total)"
E076_11,UT03,1.00724022255,"BD_Inventário (1 UTs, 40 indivíduos total)"
E076_11,UT04,0.242160641828,"BD_Inventário (1 UTs, 60 indivíduos total)"
E076_11,UT05,0.40736780289999996,"BD_Inventário (1 UTs, 34 indivíduos total)"
E076_2,UT01,0.235908231072,"BD_Inventário (1 UTs, 51 indivíduos total)"
E076_2,UT02,0.286176834303,"BD_Inventário (1 UTs, 27 indivíduos total)"
E076_2,UT03,0.21497931615870003,"BD_Inventário (1 UTs, 37 indivíduos total)"
E076_4,UT01,0.0204903114364,"BD_Inventário (1 UTs, 32 indivíduos total)"
E076_5,UT01,0.0341548525064,"BD_Inventário (1 UTs, 75 indivíduos total)"
E076_9,UT01,1.0425677788717,"BD_Inventário (1 UTs, 133 indivíduos total)"
E076_9,UT02,0.0811895770189,"BD_Inventário (1 UTs, 19 indivíduos total)"
E077,UT01,0.02069671323867,"BD_Inventário (1 UTs, 60 indivíduos total)"
E078,UT01,0.8140003941039999,"BD_Inventário (1 UTs, 100 indivíduos total)"
E078,UT02,0.1658493115484,"BD_Inventário (1 UTs, 23 indivíduos total)"
E078,UT04,0.3225891029051,"BD_Inventário (1 UTs, 30 indivíduos total)"
E079,UT01,0.240317482936,"BD_Inventário (1 UTs, 110 indivíduos total)"
E079,UT02,0.1094067390553,"BD_Inventário (1 UTs, 53 indivíduos total)"
E081,UT01,0.00782248143631,"BD_Inventário (1 UTs, 26 indivíduos total)"
E081,UT02,0.114630380041,"BD_Inventário (1 UTs, 413 indivíduos total)"
E081,UT03,0.0243219459838,"BD_Inventário (1 UTs, 106 indivíduos total)"
E081,UT04,0.068400221558,"BD_Inventário (1 UTs, 187 indivíduos total)"
E081,UT05,0.02511930723617,"BD_Inventário (1 UTs, 85 indivíduos total)"
E082,UT01,0.0434623156325,"BD_Inventário (1 UTs, 106 indivíduos total)"
E082,UT02,0.09388343797158999,"BD_Inventário (1 UTs, 308 indivíduos total)"
E083,UT01,0.02294594287493,"BD_Inventário (1 UTs, 101 indivíduos total)"
E084,UT01,0.17067781474503002,"BD_Inventário (1 UTs, 27 indivíduos total)"
E084,UT02,0.5168091210181369,"BD_Inventário (1 UTs, 39 indivíduos total)"
E084,UT03,0.0797461721948,"BD_Inventário (1 UTs, 12 indivíduos total)"
E086,UT01,1.0018033728056002,"BD_Inventário (1 UTs, 225 indivíduos total)"
E087,UT01,0.1239013149359,"BD_Inventário (1 UTs, 349 indivíduos total)"
E090,UT01,0.0073320615596,"BD_Inventário (1 UTs, 115 indivíduos total)"
E091,UT02,0.172761693671,"BD_Inventário (1 UTs, 28 indivíduos total)"
E091,UT03,0.0344435224247,"BD_Inventário (1 UTs, 14 indivíduos total)"
E091,UT04,0.04670280448811,"BD_Inventário (1 UTs, 25 indivíduos total)"
E092,UT02,0.0494904447046,"BD_Inventário (1 UTs, 28 indivíduos total)"
E092,UT03,0.21056366553990002,"BD_Inventário (1 UTs, 7 indivíduos total)"
E092,UT04,0.675978885409,"BD_Inventário (1 UTs, 11 indivíduos total)"
E092,UT06,0.15703549803,"BD_Inventário (1 UTs, 16 indivíduos total)"
E092,UT07,0.186733788667,"BD_Inventário (1 UTs, 14 indivíduos total)"
E094,UT01,0.09673595090327,"BD_Inventário (1 UTs, 79 indivíduos total)"
E095,UT01,0.2245058017803,"BD_Inventário (1 UTs, 96 indivíduos total)"
E096,UT01,0.0157342021936,"BD_Inventário (1 UTs, 69 indivíduos total)"
E096,UT02,0.0935984574384,"BD_Inventário (1 UTs, 390 indivíduos total)"
E098,UT01,0.08156553070042,"BD_Inventário (1 UTs, 309 indivíduos total)"
E098,UT02,0.01500256902755,"BD_Inventário (1 UTs, 67 indivíduos total)"
E103,UT01,0.0140193741535,"BD_Inventário (1 UTs, 17 indivíduos total)"
E105,UT01,0.005523370218055,"BD_Inventário (1 UTs, 52 indivíduos total)"
E106,UT01,0.00502529511101,"BD_Inventário (1 UTs, 81 indivíduos total)"
E107_1,UT02,0.03316783583651724,"BD_Inventário (1 UTs, 170 indivíduos total)"
